station,sensor,percentile,cutoff,rate_overall
sede-guanacaste_liberia,luminous_intensity,0.99,0.059320639818906784,0.012769534154462872
sede-sur_golfito,pressure,0.9,0.005409867502748966,0.08299305707624335
sede-sur_golfito,pressure,0.95,0.00782356783747673,0.04257210206999601
sede-sur_golfito,pressure,0.99,0.016166185960173607,0.01433668671827702
sede-sur_golfito,precipitation,0.9,0.019002879038453102,0.1221177994704365
sede-sur_golfito,precipitation,0.95,0.16931554675102234,0.05709285543825358
sede-sur_golfito,precipitation,0.99,0.8079997301101685,0.016159641805970657
sede-sur_golfito,luminous_intensity,0.9,0.04111913964152336,0.10454317107415662
sede-sur_golfito,luminous_intensity,0.95,0.056490130722522736,0.05589118029703863
sede-sur_golfito,luminous_intensity,0.99,0.09031165391206741,0.01503226720595623
